component_name;replacement_name;comment;source_url
Microsoft.AspNetCore.Antiforgery;ASP.NET Core;;
Microsoft.AspNetCore.Authentication.Abstractions;ASP.NET Core;;
Microsoft.AspNetCore.Authentication.Cookies;ASP.NET Core;;
Microsoft.AspNetCore.Authentication.Core;ASP.NET Core;;
Microsoft.AspNetCore.Authentication;ASP.NET Core;;
Microsoft.AspNetCore.Authentication.OAuth;ASP.NET Core;;
Microsoft.AspNetCore.Authorization;ASP.NET Core;;
Microsoft.AspNetCore.Authorization.Policy;ASP.NET Core;;
Microsoft.AspNetCore.Components.Authorization;ASP.NET Core;;
Microsoft.AspNetCore.Components;ASP.NET Core;;
Microsoft.AspNetCore.Components.Forms;ASP.NET Core;;
